time,24-hour,18-hour,12-hour,6-hour,3-hour,2-hour,60-min,30-min,15-min,10-min,5-min
10.6,0.2094,0.19214,0.15386,0.08512,0.00908,0,0,0,0,0,0
10.7,0.2152,0.19837,0.16076,0.09277,0.01882,0,0,0,0,0,0
10.8,0.2214,0.20503,0.16813,0.10097,0.02924,0,0,0,0,0,0
10.9,0.228,0.21213,0.17598,0.10975,0.04034,0,0,0,0,0,0
11,0.235,0.21965,0.1843,0.11909,0.0521,0,0,0,0,0,0
11.1,0.24268,0.22791,0.19344,0.12899,0.06501,0.0143,0,0,0,0,0
11.2,0.25132,0.2372,0.20371,0.13986,0.07953,0.03039,0,0,0,0,0
11.3,0.26092,0.24751,0.21512,0.15209,0.09566,0.04827,0,0,0,0,0
11.4,0.27148,0.25887,0.22768,0.16568,0.11341,0.06793,0,0,0,0,0
11.5,0.283,0.27125,0.24138,0.18062,0.13277,0.08939,0,0,0,0,0
11.6,0.30684,0.29687,0.26973,0.19692,0.17284,0.13378,0.05274,0,0,0,0
11.7,0.35436,0.34795,0.32623,0.23066,0.25271,0.22227,0.15788,0,0,0,0
11.8,0.43079,0.43011,0.41711,0.29791,0.38116,0.3646,0.32697,0.05829,0,0,0
11.9,0.56786,0.57744,0.5801,0.40607,0.61153,0.61985,0.63022,0.163,0.11781,0,0
12,0.663,0.67971,0.69322,0.60005,0.77143,0.79702,0.84071,0.83079,0.87526,1,1
12.1,0.68196,0.70008,0.71577,0.73469,0.80329,0.83233,0.88265,0.93929,1,1,1
12.2,0.69864,0.71801,0.7356,0.76153,0.83133,0.86339,0.91956,1,1,1,1
12.3,0.71304,0.73349,0.75272,0.78513,0.85553,0.8902,0.95142,1,1,1,1
12.4,0.72516,0.74652,0.76713,0.80551,0.8759,0.91277,0.97823,1,1,1,1
12.5,0.735,0.7571,0.77883,0.82266,0.89244,0.9311,1,1,1,1,1
12.6,0.74344,0.76617,0.78887,0.83659,0.90662,0.94682,1,1,1,1,1
12.7,0.75136,0.77468,0.79829,0.84853,0.91993,0.96156,1,1,1,1,1
12.8,0.75876,0.78264,0.80709,0.85974,0.93237,0.97534,1,1,1,1,1
12.9,0.76564,0.79003,0.81527,0.87021,0.94393,0.98816,1,1,1,1,1
13,0.772,0.79687,0.82283,0.87995,0.95462,1,1,1,1,1,1
13.1,0.77796,0.80327,0.82992,0.88895,0.96464,1,1,1,1,1,1
