Datetime,time,hour,min,24-hour,18-hour,12-hour,6-hour,3-hour,2-hour,60-min,30-min,15-min,10-min,5-min
1/1/2000 8:18,8.3,8,18,0.1296,0.10636,0.05898,,,,,,,,
1/1/2000 8:24,8.4,8,24,0.13225,0.10921,0.06213,,,,,,,,
1/1/2000 8:30,8.5,8,30,0.135,0.11216,0.0654,,,,,,,,
1/1/2000 8:36,8.6,8,36,0.13785,0.11523,0.06879,,,,,,,,
1/1/2000 8:42,8.7,8,42,0.1408,0.1184,0.07229,,,,,,,,
1/1/2000 8:48,8.8,8,48,0.14385,0.12168,0.07592,,,,,,,,
1/1/2000 8:54,8.9,8,54,0.147,0.12506,0.07967,,,,,,,,
1/1/2000 9:00,9,9,0,0.1502,0.1285,0.08347,0.00446,,,,,,,
1/1/2000 9:06,9.1,9,6,0.1534,0.13194,0.08728,0.00899,,,,,,,
1/1/2000 9:12,9.2,9,12,0.1566,0.13538,0.09108,0.01352,,,,,,,
1/1/2000 9:18,9.3,9,18,0.1598,0.13882,0.09489,0.01804,,,,,,,
1/1/2000 9:24,9.4,9,24,0.163,0.14226,0.09869,0.02257,,,,,,,
1/1/2000 9:30,9.5,9,30,0.16628,0.14579,0.10259,0.0271,,,,,,,
1/1/2000 9:36,9.6,9,36,0.16972,0.14948,0.10668,0.03174,,,,,,,
1/1/2000 9:42,9.7,9,42,0.17332,0.15335,0.11096,0.03661,,,,,,,
1/1/2000 9:48,9.8,9,48,0.17708,0.1574,0.11543,0.04171,,,,,,,
1/1/2000 9:54,9.9,9,54,0.181,0.16161,0.1201,0.04703,,,,,,,
1/1/2000 10:00,10,10,0,0.18512,0.16604,0.12499,0.05257,,,,,,,
1/1/2000 10:06,10.1,10,6,0.18948,0.17072,0.13018,0.0584,,,,,,,
1/1/2000 10:12,10.2,10,12,0.19408,0.17567,0.13565,0.06458,,,,,,,
1/1/2000 10:18,10.3,10,18,0.19892,0.18087,0.1414,0.07108,,,,,,,
1/1/2000 10:24,10.4,10,24,0.204,0.18633,0.14744,0.07793,,,,,,,
1/1/2000 10:30,10.5,10,30,0.2094,0.19214,0.15386,0.08512,0.00908,,,,,,
1/1/2000 10:36,10.6,10,36,0.2152,0.19837,0.16076,0.09277,0.01882,,,,,,
1/1/2000 10:42,10.7,10,42,0.2214,0.20503,0.16813,0.10097,0.02924,,,,,,
1/1/2000 10:48,10.8,10,48,0.228,0.21213,0.17598,0.10975,0.04034,,,,,,
1/1/2000 10:54,10.9,10,54,0.235,0.21965,0.1843,0.11909,0.0521,,,,,,
1/1/2000 11:00,11,11,0,0.24268,0.22791,0.19344,0.12899,0.06501,0.0143,,,,,
1/1/2000 11:06,11.1,11,6,0.25132,0.2372,0.20371,0.13986,0.07953,0.03039,,,,,
1/1/2000 11:12,11.2,11,12,0.26092,0.24751,0.21512,0.15209,0.09566,0.04827,,,,,
1/1/2000 11:18,11.3,11,18,0.27148,0.25887,0.22768,0.16568,0.11341,0.06793,,,,,
1/1/2000 11:24,11.4,11,24,0.283,0.27125,0.24138,0.18062,0.13277,0.08939,,,,,
1/1/2000 11:30,11.5,11,30,0.30684,0.29687,0.26973,0.19692,0.17284,0.13378,0.05274,,,,
1/1/2000 11:36,11.6,11,36,0.35436,0.34795,0.32623,0.23066,0.25271,0.22227,0.15788,,,,
1/1/2000 11:42,11.7,11,42,0.43079,0.43011,0.41711,0.29791,0.38116,0.3646,0.32697,0.05829,,,
1/1/2000 11:48,11.8,11,48,0.56786,0.57744,0.5801,0.40607,0.61153,0.61985,0.63022,0.163,0.11781,,
1/1/2000 11:54,11.9,11,54,0.663,0.67971,0.69322,0.60005,0.77143,0.79702,0.84071,0.83079,0.87526,1,1
1/1/2000 12:00,12,12,0,0.68196,0.70008,0.71577,0.73469,0.80329,0.83233,0.88265,0.93929,1,,
1/1/2000 12:06,12.1,12,6,0.69864,0.71801,0.7356,0.76153,0.83133,0.86339,0.91956,1,,,
1/1/2000 12:12,12.2,12,12,0.71304,0.73349,0.75272,0.78513,0.85553,0.8902,0.95142,,,,
1/1/2000 12:18,12.3,12,18,0.72516,0.74652,0.76713,0.80551,0.8759,0.91277,0.97823,,,,
1/1/2000 12:24,12.4,12,24,0.735,0.7571,0.77883,0.82266,0.89244,0.9311,1,,,,
1/1/2000 12:30,12.5,12,30,0.74344,0.76617,0.78887,0.83659,0.90662,0.94682,,,,,
1/1/2000 12:36,12.6,12,36,0.75136,0.77468,0.79829,0.84853,0.91993,0.96156,,,,,
1/1/2000 12:42,12.7,12,42,0.75876,0.78264,0.80709,0.85974,0.93237,0.97534,,,,,
1/1/2000 12:48,12.8,12,48,0.76564,0.79003,0.81527,0.87021,0.94393,0.98816,,,,,
1/1/2000 12:54,12.9,12,54,0.772,0.79687,0.82283,0.87995,0.95462,1,,,,,
1/1/2000 13:00,13,13,0,0.77796,0.80327,0.82992,0.88895,0.96464,,,,,,
1/1/2000 13:06,13.1,13,6,0.78364,0.80938,0.83667,0.89738,0.97418,,,,,,
1/1/2000 13:12,13.2,13,12,0.78904,0.81518,0.84309,0.90542,0.98326,,,,,,
1/1/2000 13:18,13.3,13,18,0.79416,0.82069,0.84918,0.91307,0.99187,,,,,,
1/1/2000 13:24,13.4,13,24,0.799,0.82589,0.85493,0.92031,1,,,,,,
1/1/2000 13:30,13.5,13,30,0.8036,0.83083,0.8604,0.92716,,,,,,,
1/1/2000 13:36,13.6,13,36,0.808,0.83556,0.86564,0.93367,,,,,,,
1/1/2000 13:42,13.7,13,42,0.8122,0.84008,0.87063,0.9399,,,,,,,
1/1/2000 13:48,13.8,13,48,0.8162,0.84438,0.87539,0.94584,,,,,,,
1/1/2000 13:54,13.9,13,54,0.82,0.84846,0.8799,0.9515,,,,,,,
1/1/2000 14:00,14,14,0,0.82367,0.85241,0.88427,0.95688,,,,,,,
1/1/2000 14:06,14.1,14,6,0.82726,0.85627,0.88854,0.96207,,,,,,,
1/1/2000 14:12,14.2,14,12,0.83079,0.86006,0.89273,0.96715,,,,,,,
1/1/2000 14:18,14.3,14,18,0.83424,0.86377,0.89684,0.97215,,,,,,,
1/1/2000 14:24,14.4,14,24,0.83763,0.86741,0.90087,0.97703,,,,,,,
1/1/2000 14:30,14.5,14,30,0.84094,0.87097,0.9048,0.98183,,,,,,,
1/1/2000 14:36,14.6,14,36,0.84419,0.87446,0.90867,0.98651,,,,,,,
1/1/2000 14:42,14.7,14,42,0.84736,0.87787,0.91244,0.99111,,,,,,,
1/1/2000 14:48,14.8,14,48,0.85047,0.88121,0.91614,0.9956,,,,,,,
1/1/2000 14:54,14.9,14,54,0.8535,0.88447,0.91974,1,,,,,,,
1/1/2000 15:00,15,15,0,0.85647,0.88766,0.92327,,,,,,,,
1/1/2000 15:06,15.1,15,6,0.85936,0.89077,0.92671,,,,,,,,
1/1/2000 15:12,15.2,15,12,0.86219,0.89381,0.93007,,,,,,,,
1/1/2000 15:18,15.3,15,18,0.86494,0.89677,0.93334,,,,,,,,
1/1/2000 15:24,15.4,15,24,0.86763,0.89966,0.93654,,,,,,,,
1/1/2000 15:30,15.5,15,30,0.87024,0.90246,0.93964,,,,,,,,
1/1/2000 15:36,15.6,15,36,0.87279,0.90521,0.94268,,,,,,,,
1/1/2000 15:42,15.7,15,42,0.87526,0.90786,0.94561,,,,,,,,
1/1/2000 15:48,15.8,15,48,0.87767,0.91045,0.94848,,,,,,,,
1/1/2000 15:54,15.9,15,54,0.88,0.91296,0.95125,,,,,,,,
1/1/2000 16:00,16,16,0,0.88229,0.91542,0.95397,,,,,,,,
1/1/2000 16:06,16.1,16,6,0.88455,0.91785,0.95666,,,,,,,,
1/1/2000 16:12,16.2,16,12,0.88679,0.92025,0.95932,,,,,,,,
1/1/2000 16:18,16.3,16,18,0.889,0.92263,0.96195,,,,,,,,
1/1/2000 16:24,16.4,16,24,0.89119,0.92498,0.96455,,,,,,,,
1/1/2000 16:30,16.5,16,30,0.89335,0.92731,0.96712,,,,,,,,
