Datetime,Tide
1/1/2000 0:00,-1.04
1/1/2000 1:00,-0.84
1/1/2000 2:00,-0.44
1/1/2000 3:00,0.17
1/1/2000 4:00,0.69
1/1/2000 5:00,1.01
1/1/2000 6:00,1.11
1/1/2000 7:00,0.82
1/1/2000 8:00,0.38
1/1/2000 9:00,-0.26
1/1/2000 10:00,-0.86
1/1/2000 11:00,-1.21
1/1/2000 12:00,-1.24
1/1/2000 13:00,-0.89
1/1/2000 14:00,-0.32
1/1/2000 15:00,0.39
1/1/2000 16:00,1.08
1/1/2000 17:00,1.58
1/1/2000 18:00,1.76
1/1/2000 19:00,1.76
1/1/2000 20:00,1.38
1/1/2000 21:00,0.76
1/1/2000 22:00,0.08
1/1/2000 23:00,-0.67
